has_transit,tier,depth_snr,bls_peak_snr,period_recovered_d,period_error_pct,n_transits,depth_ppm,duration_d,S_earth,Teq_K,Rp_Rearth,Teff_K,Rstar_Rsun,noise_mult,rank_score_label,period_d,a_AU,bond_albedo,star_id
1,easy,26.98866030079254,26.98866030079254,24.35257628814407,0.0150933884560277,11,799.4616614059017,0.1676923076923076,14.301713732570493,484.5755631865019,2.877756879504105,4594.683119471334,0.9484852521476212,1.0,0.0989316450847773,24.348901213899083,0.1589260271419343,0.3575793759734148,1000000
1,easy,16.0134626977393,16.0134626977393,21.31145572786393,0.0186514784892247,12,495.93110565178,0.1676923076923076,21.05843461579165,579.7615950255719,2.087550647277993,4901.923199703283,0.9251160404445884,1.0,0.1712610452405336,21.307481567522768,0.1453997063566472,0.106008876062265,1000001
1,easy,20.75171130119187,20.75171130119187,8.059029514757377,0.0633449880562457,33,410.87135030173295,0.2046153846153846,63.91726401639156,739.1738034509066,2.5162261495455462,4630.017814422891,0.9452437529820324,1.0,0.1077363098739344,8.064137741846789,0.0760759539134354,0.2217312183463393,1000002
1,easy,12.36081208276922,12.36081208276922,19.334667333666832,0.0331168343755192,13,335.99126611298743,0.2784615384615384,123.19736500255776,839.2188313622277,3.0569822903404056,6257.30275133882,1.358918962136307,1.0,0.1775925297283129,19.32826642368764,0.1438846752400021,0.3290950719405778,1000003
1,easy,12.61093259118364,12.61093259118364,27.633516758379187,0.0238427401831119,9,370.24990600091166,0.2415384615384615,20.60257550737965,563.9735360067447,2.1544535864234864,5150.755691331892,1.0086689465546552,1.0,0.1902544702567388,27.640106917257803,0.1769608316604408,0.1817709267755913,1000004
1,easy,23.60332069060213,23.60332069060213,23.51625812906453,0.1222836101994643,11,536.9909138366743,0.3523076923076923,26.16682198580672,587.8471772399876,3.5073376342392155,5172.539587031277,1.0161696919070002,1.0,0.1602879993137549,23.545049866064016,0.1595312430089119,0.239554161468845,1000005
1,easy,29.332411541885648,29.332411541885648,14.702751375687845,0.0697945943605378,18,738.01828380412,0.1676923076923076,36.03391706800636,633.72639245109,3.19154698005868,4964.027536731641,0.9210415094509128,1.0,0.136963150228138,14.692496807139865,0.113485188972748,0.254140163516203,1000006
1,easy,26.55309501677832,26.55309501677832,14.07408704352176,0.0194170117650141,19,749.364606107347,0.2046153846153846,99.90187112403368,827.5844255574764,3.1864345203394646,5724.773264311503,1.1463858641741234,1.0,0.1994130484512929,14.071354806903406,0.1128256768270325,0.2175850635892561,1000007
1,easy,38.47655888135122,38.47655888135122,24.67423711855928,0.0458979875565412,10,1169.8343302985486,0.2046153846153846,14.893933013567322,506.3800995657931,3.667338669167165,4681.721945018955,0.9408425843975852,1.0,0.1064674654916502,24.68556729716559,0.1603876250527872,0.2643713380552675,1000008
1,easy,14.625149096521168,14.625149096521168,28.534167083541764,0.0940541125665035,9,374.69392065125845,0.3153846153846154,16.837068385784697,537.0884745926868,2.6142767215774803,5053.584621945497,0.9474152043889272,1.0,0.1507260428959857,28.56102990676042,0.1769919654565949,0.1764719903243073,1000009
1,easy,13.145908478430307,13.145908478430307,20.39899949974988,0.0241522597222822,13,182.57829268858745,0.2415384615384615,120.84106863244617,857.0900898049151,3.148452591270584,6283.437857470307,1.4170174394790658,1.0,0.1750675456279802,20.394073870060826,0.1527600952143272,0.2558630737569786,1000010
1,easy,26.322193749150298,26.322193749150298,15.837385359346335,200.05419992895312,17,947.8507951645832,0.1307692307692307,223.73872015010213,1018.2564987620718,3.437821307535402,5287.985394541552,1.0574873667890112,1.0,0.1722290498790029,5.278174864106656,0.0593379395955568,0.1993381573452985,1000011
1,easy,15.12956228877954,15.12956228877954,10.567983991995996,0.0633954382041092,25,329.4088541182365,0.1676923076923076,221.39861860358408,1038.7050402238306,3.0371599417659074,6044.250262982412,1.3380881231876478,1.0,0.1934033290265979,10.561288616797375,0.098611937960304,0.1238961915839229,1000012
1,easy,14.075477431884062,14.075477431884062,25.832216108054023,0.1004077185616973,10,394.3577053082768,0.2046153846153846,83.48797231505131,804.1203793774794,3.7412912234326825,6247.748512077601,1.3695011017664909,1.0,0.1782543137080753,25.806304586373763,0.1756082293470248,0.1655085696527868,1000013
1,easy,7.562143368723908,7.562143368723908,23.14492246123061,0.0355406819977134,11,239.3241771248704,0.2046153846153846,47.51200716863426,644.6671718427458,2.0338056289572863,5634.009586504412,1.1671809311742427,1.0,0.2465976270242745,23.153151249088506,0.1613314410919661,0.3942403203307828,1000014
1,easy,12.057423500334814,12.057423500334814,22.100950475237617,0.014554285473288,12,348.83993220955546,0.2784615384615384,97.92064463437812,785.434382873412,2.936623936435137,6199.989195062208,1.3680807195893272,1.0,0.1828556987421047,22.104167578888543,0.1595158384293397,0.3523701009255635,1000015
1,easy,31.183627696154687,31.183627696154687,12.723111555777889,0.0171584106757674,21,746.0496469261803,0.2046153846153846,140.96078547217408,914.5766340752872,3.7596672184615416,5873.652879611188,1.2656632999994073,1.0,0.1993660401970126,12.72529501415612,0.1103908153184805,0.1729274356471635,1000016
1,easy,19.54207542347073,19.54207542347073,19.70315157578789,0.048099743805219,13,489.7521900410603,0.2415384615384615,100.85757942711946,850.6097314240947,3.652132336397671,6088.044631568692,1.3323463916000646,1.0,0.1905866079653277,19.693678966659107,0.14759304403468,0.135083134074175,1000017
1,easy,7.7128821708278,7.7128821708278,13.109104552276136,0.0153293669996874,20,236.76707669272028,0.2046153846153846,259.15081145089846,1082.7038760629964,2.054292783790009,6435.519243417775,1.495053599869421,1.0,0.2058741248181617,13.107095317531911,0.1154502873552676,0.116416266232667,1000018
